Date,AAPL,MSFT,GOOG,AMZN,TSLA,BRK-A,NVDA,FB,V,JPM,JNJ,XOM,GE,WFC,WMT,CVX,IBM,PG,T,BAC, SPY, XLB, XLC, XLE, XLF, XLI, XLK, XLP, XLRE, XLU, XLV, XLY
1/3/2006,2.669642925,26.84000015,216.8023682,47.58000183,4.777999878,89300,3.184999943,38.22999954,14.125,40.18999863,61.63000107,58.47000122,272.0769348,31.89999962,46.22999954,59.08000183,78.45124054,58.77999878,24.70999908,47.08000183,126.6999969,30.92000008,49.95999908,52.70000076,26.15759468,31.62999916,21.30999947,23.44000053,30.20999908,32,32.11000061,33
12/29/2006,3.029999971,29.86000061,229.3802338,39.45999908,4.777999878,109990,6.168333054,38.22999954,14.125,48.29999924,66.01999664,76.62999725,286.2307739,35.56000137,46.18000031,73.52999878,92.87763214,64.26999664,35.75,53.38999939,141.6199951,34.84000015,49.95999908,58.63000107,29.84565353,35.00999832,23.26000023,26.12000084,30.20999908,36.72000122,33.49000168,38.36000061
1/3/2007,2.992856979,29.86000061,232.9219513,38.70000076,4.777999878,109000,6.013332844,38.22999954,14.125,48.06999969,66.40000153,74.11000061,292.0769348,35.74000168,47.54999924,70.97000122,92.99235535,64.54000092,34.95000076,53.33000183,141.3699951,34.61000061,49.95999908,56.58000183,29.9918766,35.22999954,23.32999992,26.29000092,30.20999908,36.81999969,33.5,38.52000046
12/31/2007,7.074285984,35.59999847,344.4489136,92.63999939,4.777999878,141600,8.505000114,38.22999954,14.125,43.65000153,66.69999695,93.69000244,285.1538391,30.19000053,47.52999878,93.33000183,103.346077,73.41999817,41.56000137,41.25999832,146.2100067,41.70000076,49.95999908,79.34999847,23.5012188,39.15999985,26.65999985,28.79999924,30.20999908,42.33000183,35.31000137,32.70000076
1/2/2008,6.958570957,35.22000122,341.3156738,96.25,4.777999878,139300,8.25249958,38.22999954,14.125,42.16999817,65.91000366,93.51000214,282.7692261,29.10000038,46.90000153,93.45999908,100.0860443,72.30999756,41,40.56000137,144.9299927,41.29999924,49.95999908,79.5,23.0381794,38.50999832,26.12000084,28.38999939,30.20999908,42.09000015,34.93999863,32.20000076
12/31/2008,3.048213959,19.44000053,153.2505798,51.27999878,4.777999878,96600,2.017499924,38.22999954,13.11250019,31.53000069,59.83000183,79.83000183,124.615387,29.47999954,56.06000137,73.97000122,80.45889282,61.81999969,28.5,14.07999992,90.23999786,22.73999977,49.95999908,47.77000046,10.17059326,23.42000008,15.40999985,23.87000084,30.20999908,29.03000069,26.54999924,21.56999969
1/2/2009,3.241070986,20.32999992,160.0600586,54.36000061,4.777999878,99990,2.17750001,38.22999954,13.35999966,31.35000038,60.65000153,81.63999939,131.3076935,30,57.18000031,76.51999664,83.52772522,62.79999924,29.42000008,14.32999992,92.95999908,23.56999969,49.95999908,50.15000153,10.28432178,24.28000069,15.98999977,24.20999908,30.20999908,29.70999908,27.09000015,22.64999962
12/31/2009,7.526071072,30.47999954,308.832428,134.5200043,4.777999878,99200,4.670000076,38.22999954,21.86499977,41.66999817,64.41000366,68.19000244,116.384613,26.98999977,53.45000076,76.98999786,125.1434021,60.63000107,28.03000069,15.06000042,111.4400024,32.99000168,49.95999908,57.00999832,11.69780731,27.79000092,22.93000031,26.46999931,30.20999908,31.02000046,31.06999969,29.77000046
1/4/2010,7.643214226,30.95000076,312.2047729,133.8999939,4.777999878,99600,4.622499943,38.22999954,22.03499985,42.84999847,64.68000031,69.15000153,118.8461533,27.31999969,54.22999954,79.05999756,126.6252365,61.11999893,28.57999992,15.68999958,113.3300018,34.02000046,49.95999908,58.81000137,11.9333868,28.31999969,23.27000046,26.67000008,30.20999908,31.07999992,31.61000061,30
12/31/2010,11.52000046,27.90999985,295.8759766,180,5.326000214,120450,3.849999905,38.22999954,17.59499931,42.41999817,61.84999847,73.12000275,140.6923065,30.98999977,53.93000031,91.25,140.3059235,64.33000183,29.37999916,13.34000015,125.75,38.40999985,49.95999908,68.25,12.95694637,34.86999893,25.19000053,29.30999947,30.20999908,31.34000015,31.5,37.40999985
